Date,Month,Year,Product Name,Category,Sales Quantity,Sales Revenue ($),Margin ($)
2024-06-01,6,2024,Echo Dot,Electronics,350,300000,120000
2024-06-01,6,2024,Kindle Paperwhite,Electronics,200,160000,64000
2024-06-01,6,2024,Fire TV Stick,Electronics,150,120000,48000
2024-06-01,6,2024,Gaming Laptop,Computers,300,280000,112000
2024-06-01,6,2024,Ultrabook,Computers,250,230000,92000
2024-06-01,6,2024,Chromebook,Computers,180,170000,68000
2024-06-01,6,2024,Wireless Mouse,Accessories,500,100000,40000
2024-06-01,6,2024,Mechanical Keyboard,Accessories,450,90000,36000
2024-06-01,6,2024,Gaming Headset,Accessories,400,80000,32000
2024-05-01,5,2024,Echo Dot,Electronics,340,290000,116000
2024-05-01,5,2024,Kindle Paperwhite,Electronics,190,150000,60000
2024-05-01,5,2024,Fire TV Stick,Electronics,140,110000,44000
2024-05-01,5,2024,Gaming Laptop,Computers,290,270000,108000
2024-05-01,5,2024,Ultrabook,Computers,240,220000,88000
2024-05-01,5,2024,Chromebook,Computers,170,160000,64000
2024-05-01,5,2024,Wireless Mouse,Accessories,480,96000,38400
2024-05-01,5,2024,Mechanical Keyboard,Accessories,430,86000,34400
2024-05-01,5,2024,Gaming Headset,Accessories,380,76000,30400
2024-04-01,4,2024,Echo Dot,Electronics,320,280000,112000
2024-04-01,4,2024,Kindle Paperwhite,Electronics,180,140000,56000
2024-04-01,4,2024,Fire TV Stick,Electronics,130,100000,40000
2024-04-01,4,2024,Gaming Laptop,Computers,280,260000,104000
2024-04-01,4,2024,Ultrabook,Computers,230,210000,84000
2024-04-01,4,2024,Chromebook,Computers,160,150000,60000
2024-04-01,4,2024,Wireless Mouse,Accessories,460,92000,36800
2024-04-01,4,2024,Mechanical Keyboard,Accessories,410,82000,32800
2024-04-01,4,2024,Gaming Headset,Accessories,360,72000,28800
2024-03-01,3,2024,Echo Dot,Electronics,300,270000,108000
2024-03-01,3,2024,Kindle Paperwhite,Electronics,170,130000,52000
2024-03-01,3,2024,Fire TV Stick,Electronics,120,90000,36000
2024-03-01,3,2024,Gaming Laptop,Computers,270,250000,100000
2024-03-01,3,2024,Ultrabook,Computers,220,200000,80000
2024-03-01,3,2024,Chromebook,Computers,150,140000,56000
2024-03-01,3,2024,Wireless Mouse,Accessories,440,88000,35200
2024-03-01,3,2024,Mechanical Keyboard,Accessories,390,78000,31200
2024-03-01,3,2024,Gaming Headset,Accessories,340,68000,27200
2023-06-01,6,2023,Echo Dot,Electronics,300,270000,108000
2023-06-01,6,2023,Kindle Paperwhite,Electronics,160,140000,56000
2023-06-01,6,2023,Fire TV Stick,Electronics,130,100000,40000
2023-06-01,6,2023,Gaming Laptop,Computers,280,260000,104000
2023-06-01,6,2023,Ultrabook,Computers,230,210000,84000
2023-06-01,6,2023,Chromebook,Computers,160,150000,60000
2023-06-01,6,2023,Wireless Mouse,Accessories,460,92000,36800
2023-06-01,6,2023,Mechanical Keyboard,Accessories,410,82000,32800
2023-06-01,6,2023,Gaming Headset,Accessories,360,72000,28800
2023-05-01,5,2023,Echo Dot,Electronics,280,260000,104000
2023-05-01,5,2023,Kindle Paperwhite,Electronics,150,130000,52000
2023-05-01,5,2023,Fire TV Stick,Electronics,120,90000,36000
2023-05-01,5,2023,Gaming Laptop,Computers,270,250000,100000
2023-05-01,5,2023,Ultrabook,Computers,220,200000,80000
2023-05-01,5,2023,Chromebook,Computers,150,140000,56000
2023-05-01,5,2023,Wireless Mouse,Accessories,440,88000,35200
2023-05-01,5,2023,Mechanical Keyboard,Accessories,390,78000,31200
2023-05-01,5,2023,Gaming Headset,Accessories,340,68000,27200
